id,nome,total_agregados
D5,Áreas Urbanizadas,1
CL,Cadastro Central de Empresas,27
CA,Censo Agropecuário,1407
ME,"Censo Comum do Mercosul, Bolívia e Chile",26
CD,Censo Demográfico,1394
CM,Contagem da População ,21
DU,Contas de ecossistemas: o uso da terra nos biomas brasileiros,2
DT,Contas de Espécies Ameaçadas ,2
C4,Contas Econômicas Ambientais da Água,14
DR,Contas Econômicas Ambientais da Terra: Contabilidade Física,1
DZ,Contas Econômicas Ambientais de Energia: produtos da biomassa,12
SU,Contas Nacionais Anuais,1
ST,Contas Nacionais Trimestrais,10
EL,Contribuição dos Polinizadores para as Produções Agrícola e Extrativista do Brasil,1
DE,Demografia das Empresas e Estatísticas de Empreendedorismo,20
D9,Estatísticas dos Cadastros de Microempreendedores Individuais,10
XF,Estimativas de População,1
FP,Fundações Privadas e Associações Sem Fins Lucrativos,22
IU,Indicadores de Desenvolvimento Sustentável,213
IL,Índice de Preços ao Consumidor em Real,2
IR,Índice de Preços ao Produtor,6
IJ,Índice de Reajuste do Salário Mínimo,2
PC,Índice Nacional de Preços ao Consumidor,13
IA,Índice Nacional de Preços ao Consumidor Amplo,24
IQ,Índice Nacional de Preços ao Consumidor Amplo 15,5
IG,Índice Nacional de Preços ao Consumidor Amplo Especial,8
PG,Índice Nacional de Preços ao Consumidor Especial,2
LA,Levantamento Sistemático da Produção Agrícola,5
C2,Objetivos de Desenvolvimento Sustentável,211
AC,Pesquisa Anual da Indústria da Construção,50
PB,Pesquisa Anual de Comércio,82
PY,Pesquisa Anual de Serviços,302
PP,Pesquisa da Pecuária Municipal,6
AM,Pesquisa de Assistência Médico-Sanitária,3
ES,Pesquisa de Estoques,9
PM,Pesquisa de Informações Básicas Municipais,187
IT,Pesquisa de Inovação,58
OF,Pesquisa de Orçamentos Familiares,154
SH,Pesquisa de Serviços de Hospedagem,16
SE,Pesquisa de Serviços de Publicidade e Promoção,5
PT,Pesquisa de Serviços de Tecnologia da Informação,5
RC,Pesquisa Estatísticas do Registro Civil,127
PI,Pesquisa Industrial Anual,2
PK,Pesquisa Industrial Anual - Empresa,32
PJ,Pesquisa Industrial Anual - Produto,17
DG,Pesquisa Industrial Mensal - Dados Gerais,32
PZ,Pesquisa Industrial Mensal - Produção Física,26
XY,Pesquisa Industrial Mensal de Emprego e Salário,2
AB,Pesquisa Mensal de Abate de Animais,10
MC,Pesquisa Mensal de Comércio,45
PE,Pesquisa Mensal de Emprego,72
SC,Pesquisa Mensal de Serviços,19
PL,Pesquisa Mensal do Leite,6
SB,Pesquisa Nacional de Saneamento Básico,263
XN,Pesquisa Nacional de Saúde,2222
AA,Pesquisa Nacional de Saúde do Escolar,382
PD,Pesquisa Nacional por Amostra de Domicílios,450
B5,Pesquisa Nacional por Amostra de Domicílios Contínua anual,1042
BB,Pesquisa Nacional por Amostra de Domicílios Contínua mensal,25
DD,Pesquisa Nacional por Amostra de Domicílios Contínua trimestral,66
AX,Pesquisa Trimestral do Abate de Animais,6
CQ,Pesquisa Trimestral do Couro,5
LT,Pesquisa Trimestral do Leite,3
PA,Produção Agrícola Municipal,7
VS,Produção da Extração Vegetal e da Silvicultura,5
PO,Produção de Ovos de Galinha,4
IO,Produto Interno Bruto dos Municípios,4
XE,Projeção da População,5
SI,Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil,9
